보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-01,2026-03-31,멍게기다리셨죠_롱버전_이미지2,멍게_판매_260304,멍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,406,1.243842,,캠페인 예산 사용,0,12761,진행 중,-,-,-,505,25269.306931,24,,531.708333,4.752475,34,6.732673,375.323529,16.0,797.5625,
2026-03-01,2026-03-31,회로먹을만큼신선_이미지3,멍게_판매_260304,멍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,527,1.089184,,캠페인 예산 사용,0,11952,진행 중,-,-,-,574,20822.299652,15,,796.8,2.61324,16,2.787456,747.0,17.0,703.058824,
2026-03-01,2026-03-31,멍게기다리신분들_롱버전_이미지4,멍게_판매_260304,멍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,56,1.071429,,캠페인 예산 사용,0,1118,진행 중,-,-,-,60,18633.333333,2,,559.0,3.333333,2,3.333333,559.0,2.0,559.0,
2026-03-01,2026-03-31,멍게기다리셨죠_롱버전_영상,멍게_판매_260304,멍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,99,1.030303,,캠페인 예산 사용,0,1604,진행 중,-,-,-,102,15725.490196,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,멍게기다리셨죠_롱버전_슬라이드,멍게_판매_260304,멍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,6960,1.520546,,캠페인 예산 사용,0,234996,진행 중,-,-,-,10583,22205.045828,398,,590.442211,3.760748,485,4.582822,484.527835,363.0,647.371901,
2026-03-01,2026-03-31,한우 가격혁명_이미지1,국거리_판매_260310,국거리_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,967,1.115822,,캠페인 예산 사용,0,20828,진행 중,-,-,-,1079,19303.058387,20,,1041.4,1.853568,21,1.946247,991.809524,15.0,1388.533333,
2026-03-01,2026-03-31,엄마의 한우국_영상,국거리_판매_260310,국거리_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,256,1.183594,,캠페인 예산 사용,0,7224,진행 중,-,-,-,303,23841.584158,7,,1032.0,2.310231,7,2.310231,1032.0,7.0,1032.0,
2026-03-01,2026-03-31,엄마의 한우국_이미지1,국거리_판매_260310,국거리_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,9727,1.746273,,캠페인 예산 사용,0,390773,진행 중,-,-,-,16986,23005.592841,432,,904.56713,2.543271,473,2.784646,826.158562,383.0,1020.295039,
2026-03-01,2026-03-31,31% 특가 마감임박_이미지3,국거리_판매_260310,국거리_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,544,1.058824,,캠페인 예산 사용,0,11258,진행 중,-,-,-,576,19545.138889,15,,750.533333,2.604167,14,2.430556,804.142857,13.0,866.0,
2026-03-01,2026-03-31,진짜한우차이_이미지2,국거리_판매_260310,국거리_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,159,1.025157,,캠페인 예산 사용,0,3982,진행 중,-,-,-,163,24429.447853,4,,995.5,2.453988,4,2.453988,995.5,4.0,995.5,
